game_id,team1_id,team2_id,season,team1_seed,team2_seed,team1_position,team2_position,strongseed,weakseed,team1_region,team2_region,slot,host,host_lat,host_long,team1_teamname,team2_teamname,team1_coach_id,team1_coach_name,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team1_pt_career_overall_wins,team2_coach_id,team2_coach_name,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team2_pt_career_overall_wins,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team1_lat,team1_long,team2_lat,team2_long,team1_coaches_preseason,team2_coaches_preseason,team1_ap_preseason,team2_ap_preseason,team1_coaches_final,team2_coaches_final,team1_ap_final,team2_ap_final,team1_SRS,team1_SOS,team1_Pace,team1_ORtg,team1_FTr,team1_3PAr,team1_TS%,team1_TRB%,team1_AST%,team1_STL%,team1_BLK%,team1_eFG%,team1_TOV%,team1_ORB%,team1_FT/FGA,team2_SRS,team2_SOS,team2_Pace,team2_ORtg,team2_FTr,team2_3PAr,team2_TS%,team2_TRB%,team2_AST%,team2_STL%,team2_BLK%,team2_eFG%,team2_TOV%,team2_ORB%,team2_FT/FGA
2022-1124-1246,1124,1246,2022,1,2,W01,W02,1,2,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,Kentucky,scott-drew-1,Scott Drew,9,9,5,5,1,1,398,221,232,26,6,26,6,418,john-calipari-1,John Calipari,9,20,8,15,4,6,365,100,240,26,7,26,7,810,53.50370981,34.55782313,69.78417266,9.561403509,49.47368421,29.93730408,70.08368201,7.337180544,37.73100616,35.88301462,56.1461794,55.49668874,0.128090117,0.093569376,53.68632708,34.93975904,73.0017762,10.99601594,47.17131474,30.31161473,71.54471545,6.434316354,28.02701399,36.00203978,52.98804781,46.27791563,0.098407947,0.087086678,68.5501,67.2399,111.13,117.874,92.7023,91.5576,69.3278,67.3441,114.407,120.13,95.4126,93.5739,31.545956,-97.119359,38.028081,-84.510698,8,11,8,10,4,6,4,7,21.89,9.01,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,0.529,15.3,36.3,0.199,21.85,8.39,69.2,114.3,0.272,0.28,0.56,57.1,52.9,9.8,11,0.534,14,37.9,0.198
2022-1124-1345,1124,1345,2022,1,3,W01,W03,1,3,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,Purdue,scott-drew-1,Scott Drew,9,9,5,5,1,1,398,221,232,26,6,26,6,418,matt-painter-1,Matt Painter,12,13,5,5,0,0,382,190,195,27,6,27,6,407,53.50370981,34.55782313,69.78417266,9.561403509,49.47368421,29.93730408,70.08368201,7.337180544,37.73100616,35.88301462,56.1461794,55.49668874,0.128090117,0.093569376,56.05928509,39.45945946,70.39187228,10,49.05982906,33.62175525,72.39709443,6.713164778,39.21568627,40.87923194,59.03743316,53.07328605,0.068849914,0.084149895,68.5501,67.2399,111.13,117.874,92.7023,91.5576,66.5745,65.8191,119.206,121.983,102.091,99.2547,31.545956,-97.119359,40.428206,-86.914435,8,7,8,7,4,9,4,10,21.89,9.01,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,0.529,15.3,36.3,0.199,19.77,8.74,66.6,118.5,0.363,0.391,0.595,57,58.9,6.9,9.9,0.57,14.8,35.2,0.255
2022-1124-1417,1124,1417,2022,1,4,W01,W04,1,4,W,W,R3W1,philadelphia,39.95,-75.1667,Baylor,UCLA,scott-drew-1,Scott Drew,9,9,5,5,1,1,398,221,232,26,6,26,6,418,mick-cronin-1,Mick Cronin,1,12,1,2,1,1,66,29,200,25,7,25,7,431,53.50370981,34.55782313,69.78417266,9.561403509,49.47368421,29.93730408,70.08368201,7.337180544,37.73100616,35.88301462,56.1461794,55.49668874,0.128090117,0.093569376,49.55882353,35.14376997,73.64864865,9.575429088,47.33514002,32.24368499,72.25433526,7.867647059,31.52064451,37.80898876,50,51.14709852,0.102746177,0.066214203,68.5501,67.2399,111.13,117.874,92.7023,91.5576,67.1833,65.5765,111.821,116.067,94.6157,91.2261,31.545956,-97.119359,34.068892,-118.443901,8,2,8,2,4,12,4,11,21.89,9.01,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,0.529,15.3,36.3,0.199,20.34,8.78,67.1,111.6,0.298,0.315,0.539,52.8,50,10.3,9.6,0.506,11.4,32,0.22
2022-1124-1388,1124,1388,2022,1,5,W01,W05,1,5,W,W,R3W1,philadelphia,39.95,-75.1667,Baylor,St Mary's CA,scott-drew-1,Scott Drew,9,9,5,5,1,1,398,221,232,26,6,26,6,418,randy-bennett-1,Randy Bennett,7,7,1,1,0,0,479,199,199,25,7,25,7,479,53.50370981,34.55782313,69.78417266,9.561403509,49.47368421,29.93730408,70.08368201,7.337180544,37.73100616,35.88301462,56.1461794,55.49668874,0.128090117,0.093569376,52.54237288,35.12658228,76.65847666,6.587837838,46.95945946,34.44676409,71.42857143,8.920606601,36.05248146,28.80336741,51.41800247,35.9223301,0.105258628,0.091978333,68.5501,67.2399,111.13,117.874,92.7023,91.5576,65.5835,63.5231,106.095,109.744,93.3164,89.945,31.545956,-97.119359,29.451793,-98.564307,8,,8,,4,16,4,18,21.89,9.01,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,0.529,15.3,36.3,0.199,14.83,6.48,65.7,106.2,0.239,0.362,0.555,53.3,51.4,10.7,6.7,0.527,15.3,27.8,0.182
2022-1124-1400,1124,1400,2022,1,6,W01,W06,1,6,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,Texas,scott-drew-1,Scott Drew,9,9,5,5,1,1,398,221,232,26,6,26,6,418,chris-beard-1,Chris Beard,0,4,0,2,0,1,21,11,71,21,11,21,11,163,53.50370981,34.55782313,69.78417266,9.561403509,49.47368421,29.93730408,70.08368201,7.337180544,37.73100616,35.88301462,56.1461794,55.49668874,0.128090117,0.093569376,50.84294587,32.33438486,74.86818981,10.14897579,46.08938547,31.80147059,66.94630872,9.316770186,36.00227144,33.62175525,53.59897172,43.86227545,0.119312864,0.091296078,68.5501,67.2399,111.13,117.874,92.7023,91.5576,64.188,63.1211,105.723,111.789,91.9048,91.4015,31.545956,-97.119359,30.28473,-97.737277,8,5,8,5,4,25,4,25,21.89,9.01,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,0.529,15.3,36.3,0.199,17.19,8.47,64.3,105.6,0.323,0.36,0.538,51.1,53.6,11.9,10.1,0.5,15.7,31.8,0.242
2022-1124-1293,1124,1293,2022,1,7,W01,W07,1,7,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,Murray St,scott-drew-1,Scott Drew,9,9,5,5,1,1,398,221,232,26,6,26,6,418,matt-mcmahon-1,Matt Mcmahon,2,2,0,0,0,0,153,66,66,30,2,30,2,153,53.50370981,34.55782313,69.78417266,9.561403509,49.47368421,29.93730408,70.08368201,7.337180544,37.73100616,35.88301462,56.1461794,55.49668874,0.128090117,0.093569376,53.46901018,34.70948012,69.75881262,9.453781513,50,30.06134969,67.59493671,10.54579093,37.6945245,40.64837905,50.1863354,45.53571429,0.115522728,0.078207864,68.5501,67.2399,111.13,117.874,92.7023,91.5576,67.4595,65.8108,113.009,111.514,92.0871,95.1007,31.545956,-97.119359,36.61241,-88.323493,8,,8,,4,20,4,20,21.89,9.01,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,0.529,15.3,36.3,0.199,10.46,-3.54,68.3,116.1,0.313,0.376,0.569,55.9,50.7,11.6,9.4,0.545,14.1,36,0.218
2022-1124-1314,1124,1314,2022,1,8,W01,W08,1,8,W,W,R2W1,fort_worth,32.74,-97.36,Baylor,North Carolina,scott-drew-1,Scott Drew,9,9,5,5,1,1,398,221,232,26,6,26,6,418,hubert-davis-1,Hubert Davis,0,0,0,0,0,0,24,9,9,24,9,24,9,24,53.50370981,34.55782313,69.78417266,9.561403509,49.47368421,29.93730408,70.08368201,7.337180544,37.73100616,35.88301462,56.1461794,55.49668874,0.128090117,0.093569376,50.71428571,36.20689655,77.21943049,9.814528594,48.29984544,34.92063492,73.69614512,8.492063492,37.43793446,36.87804878,53.61842105,48.03149606,0.076691552,0.093829329,68.5501,67.2399,111.13,117.874,92.7023,91.5576,70.2181,70.1745,109.416,113.035,100.974,96.9911,31.545956,-97.119359,35.912165,-79.050969,8,20,8,19,4,,4,,21.89,9.01,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,0.529,15.3,36.3,0.199,13.12,7.33,70.2,109.6,0.296,0.375,0.557,55.4,53.6,7.7,9.8,0.521,14.4,30.4,0.229
2022-1124-1266,1124,1266,2022,1,9,W01,W09,1,9,W,W,R2W1,fort_worth,32.74,-97.36,Baylor,Marquette,scott-drew-1,Scott Drew,9,9,5,5,1,1,398,221,232,26,6,26,6,418,shaka-smart-1,Shaka Smart,0,8,0,1,0,1,19,12,154,19,12,19,12,291,53.50370981,34.55782313,69.78417266,9.561403509,49.47368421,29.93730408,70.08368201,7.337180544,37.73100616,35.88301462,56.1461794,55.49668874,0.128090117,0.093569376,52.93569432,34.72041612,74.69635628,12.73166801,46.17244158,31.7251462,69.93006993,9.133271202,41.74809989,35.53246753,59.4011976,54.93670886,0.109310426,0.098558581,68.5501,67.2399,111.13,117.874,92.7023,91.5576,71.4884,70.6965,103.451,109.786,98.5096,95.782,31.545956,-97.119359,43.038765,-87.928122,8,,8,,4,,4,,21.89,9.01,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,0.529,15.3,36.3,0.199,12.58,9.07,71.4,103.3,0.268,0.417,0.555,47.1,59.4,10.9,12.7,0.526,15.7,22.4,0.2
2022-1124-1362,1124,1362,2022,1,10,W01,W10,1,10,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,San Francisco,scott-drew-1,Scott Drew,9,9,5,5,1,1,398,221,232,26,6,26,6,418,todd-golden-1,Todd Golden,0,0,0,0,0,0,57,35,35,24,9,24,9,57,53.50370981,34.55782313,69.78417266,9.561403509,49.47368421,29.93730408,70.08368201,7.337180544,37.73100616,35.88301462,56.1461794,55.49668874,0.128090117,0.093569376,53.91061453,34.69150175,69.21675774,11.54752553,48.38963079,28.9048474,71.01694915,9.031657356,44.43869633,30.43715847,46.97833523,43.24324324,0.109267257,0.085378869,68.5501,67.2399,111.13,117.874,92.7023,91.5576,70.641,68.7097,107.272,110.729,94.4226,92.3538,31.545956,-97.119359,37.775564,-122.450977,8,,8,,4,,4,,21.89,9.01,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,0.529,15.3,36.3,0.199,14.85,5.53,70.9,108.7,0.289,0.45,0.56,53.7,47.5,10.9,11.5,0.537,15.8,30.4,0.201
2022-1124-1439,1124,1439,2022,1,11,W01,W11,1,11,W,W,R4W1,philadelphia,39.95,-75.1667,Baylor,Virginia Tech,scott-drew-1,Scott Drew,9,9,5,5,1,1,398,221,232,26,6,26,6,418,mike-young-1,Mike Young,1,6,0,0,0,0,54,35,279,23,12,23,12,353,53.50370981,34.55782313,69.78417266,9.561403509,49.47368421,29.93730408,70.08368201,7.337180544,37.73100616,35.88301462,56.1461794,55.49668874,0.128090117,0.093569376,52.51544572,39.27680798,74.291939,9.475465313,49.40778342,31.70028818,74.41860465,9.443954104,41.44702842,36.99360341,55.38461538,50.62189055,0.084348431,0.097808287,68.5501,67.2399,111.13,117.874,92.7023,91.5576,63.4606,62.933,111.1,114.272,98.0541,96.3924,31.545956,-97.119359,37.237477,-80.434849,8,,8,,4,24,4,,21.89,9.01,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,0.529,15.3,36.3,0.199,14.17,5.71,63.5,111.1,0.237,0.415,0.575,51.5,55.4,8.4,9.5,0.552,14.9,28.1,0.176
